race_id,date,venue,race_no,race_name,surface,distance_m,class,field_size,weather,going,first_no,first_name,first_popularity,first_odds,second_no,second_name,second_popularity,second_odds,third_no,third_name,third_popularity,third_odds,win_payout,quinella_payout,wide_payouts,trio_payout,trifecta_payout,source_bulk,source_detail,jra_official_check,data_status,notes
202606040101,2026-09-05,中山,1,3歳以上障害OP,障害,3200,障害,0,,,,,,,,,,,,,,,180,480,3-4:210 / 1-4:290 / 1-3:620,1300,3660,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040101,未照合,異常候補,top3_missing;weather_going_missing
202606040102,2026-09-05,中山,2,3歳未勝利,芝,1600,未勝利,0,,,,,,,,,,,,,,,290,3430,2-6:960 / 2-8:310 / 6-8:1930,4440,23040,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040102,未照合,異常候補,top3_missing;weather_going_missing
202606040103,2026-09-05,中山,3,2歳未勝利,ダート,1800,未勝利,0,,,,,,,,,,,,,,,710,2560,4-5:600 / 4-9:290 / 5-9:240,850,9430,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040103,未照合,異常候補,top3_missing;weather_going_missing
202606040104,2026-09-05,中山,4,2歳未勝利,芝,1800,未勝利,0,,,,,,,,,,,,,,,290,1500,1-8:410 / 1-5:330 / 5-8:660,1930,9660,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040104,未照合,異常候補,top3_missing;weather_going_missing
202606040105,2026-09-05,中山,5,2歳新馬,芝,2000,新馬,0,,,,,,,,,,,,,,,410,1150,5-6:400 / 2-6:330 / 2-5:510,1320,6380,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040105,未照合,異常候補,top3_missing;weather_going_missing
202606040106,2026-09-05,中山,6,2歳新馬,ダート,1200,新馬,0,,,,,,,,,,,,,,,180,540,1-10:310 / 8-10:1120 / 1-8:2120,4180,10420,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040106,未照合,異常候補,top3_missing;weather_going_missing
202606040107,2026-09-05,中山,7,3歳未勝利,ダート,1800,未勝利,0,,,,,,,,,,,,,,,520,850,8-15:410 / 8-13:6220 / 13-15:3340,17450,78860,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040107,未照合,異常候補,top3_missing;weather_going_missing
202606040108,2026-09-05,中山,8,3歳以上1勝クラス,ダート,1200,1勝,0,,,,,,,,,,,,,,,590,1270,1-6:500 / 1-5:1960 / 5-6:1130,5780,28150,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040108,未照合,異常候補,top3_missing;weather_going_missing
202606040109,2026-09-05,中山,9,古作特別,芝,1800,その他,0,,,,,,,,,,,,,,,1230,1960,5-7:590 / 2-5:1610 / 2-7:650,6240,32380,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040109,未照合,異常候補,top3_missing;weather_going_missing
202606040110,2026-09-05,中山,10,白井特別,芝,1200,その他,0,,,,,,,,,,,,,,,1400,1120,5-6:510 / 6-8:920 / 5-8:200,1950,20290,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040110,未照合,異常候補,top3_missing;weather_going_missing
202606040111,2026-09-05,中山,11,京成杯AH,芝,1600,その他,0,,,,,,,,,,,,,,,1960,8920,7-8:3140 / 3-8:3350 / 3-7:2870,42840,334980,https://db.netkeiba.com/race/list/20260905/,https://race.netkeiba.com/race/result.html?race_id=202606040111,未照合,異常候補,top3_missing;weather_going_missing
